+----------------+--------------------------------------------------------------------------+------------------------------------------------+
| U+04AC->U+0442 | CYRILLIC CAPITAL LETTER TE WITH DESCENDER                                | CYRILLIC SMALL LETTER TE                       |
| U+04AD->U+0442 | CYRILLIC SMALL LETTER TE WITH DESCENDER                                  | CYRILLIC SMALL LETTER TE                       |
| U+04AE->U+0443 | CYRILLIC CAPITAL LETTER STRAIGHT U                                       | CYRILLIC SMALL LETTER U                        |
| U+04AF->U+0443 | CYRILLIC SMALL LETTER STRAIGHT U                                         | CYRILLIC SMALL LETTER U                        |
| U+04B0->U+0443 | CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE                           | CYRILLIC SMALL LETTER U                        |
| U+04B1->U+0443 | CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE                             | CYRILLIC SMALL LETTER U                        |
| U+04B2->U+0445 | CYRILLIC CAPITAL LETTER HA WITH DESCENDER                                | CYRILLIC SMALL LETTER HA                       |
| U+04B3->U+0445 | CYRILLIC SMALL LETTER HA WITH DESCENDER                                  | CYRILLIC SMALL LETTER HA                       |
| U+04B4->U+04B5 | CYRILLIC CAPITAL LIGATURE TE TSE                                         | CYRILLIC SMALL LIGATURE TE TSE                 |
| U+04B6->U+0447 | CYRILLIC CAPITAL LETTER CHE WITH DESCENDER                               | CYRILLIC SMALL LETTER CHE                      |
| U+04B7->U+0447 | CYRILLIC SMALL LETTER CHE WITH DESCENDER                                 | CYRILLIC SMALL LETTER CHE                      |
| U+04B8->U+0447 | CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE                         | CYRILLIC SMALL LETTER CHE                      |
| U+04B9->U+0447 | CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE                           | CYRILLIC SMALL LETTER CHE                      |
| U+04BA->U+04BB | CYRILLIC CAPITAL LETTER SHHA                                             | CYRILLIC SMALL LETTER SHHA                     |
| U+04BC->U+04BD | CYRILLIC CAPITAL LETTER ABKHASIAN CHE                                    | CYRILLIC SMALL LETTER ABKHASIAN CHE            |
| U+04BE->U+04BD | CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER                     | CYRILLIC SMALL LETTER ABKHASIAN CHE            |
| U+04BF->U+04BD | CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER                       | CYRILLIC SMALL LETTER ABKHASIAN CHE            |
| U+04C0->U+04CF | CYRILLIC LETTER PALOCHKA                                                 | CYRILLIC SMALL LETTER PALOCHKA                 |
| U+04C1->U+0436 | CYRILLIC CAPITAL LETTER ZHE WITH BREVE                                   | CYRILLIC SMALL LETTER ZHE                      |
| U+04C2->U+0436 | CYRILLIC SMALL LETTER ZHE WITH BREVE                                     | CYRILLIC SMALL LETTER ZHE                      |
| U+04C3->U+043A | CYRILLIC CAPITAL LETTER KA WITH HOOK                                     | CYRILLIC SMALL LETTER KA                       |
| U+04C4->U+043A | CYRILLIC SMALL LETTER KA WITH HOOK                                       | CYRILLIC SMALL LETTER KA                       |
| U+04C5->U+043B | CYRILLIC CAPITAL LETTER EL WITH TAIL                                     | CYRILLIC SMALL LETTER EL                       |
| U+04C6->U+043B | CYRILLIC SMALL LETTER EL WITH TAIL                                       | CYRILLIC SMALL LETTER EL                       |
| U+04C7->U+043D | CYRILLIC CAPITAL LETTER EN WITH HOOK                                     | CYRILLIC SMALL LETTER EN                       |
| U+04C8->U+043D | CYRILLIC SMALL LETTER EN WITH HOOK                                       | CYRILLIC SMALL LETTER EN                       |
